like your gums were replaced with green peanut butter
3.12%:  green
3.06%:  like
1.75%:  pretty
4.10%:  pretty green
2.26%:  pretty green between
1.73%:  super
2.09%:  super green
1.40%:  super green between
1.25%:  between
47.08%:  between your teeth like
3.95%:  between your teeth like a
3.08%:  between your teeth like it
2.38%:  between your teeth like super
1.19%:  like there
0.89%:  between your teeth like p
0.66%:  between your teeth in
0.64%:  between your teeth like a super
0.64%:  between your teeth in like
0.62%:  like the
0.62%:  like green
0.62%:  like you
0.69%:  like you were
0.97%:  like you were eating
0.60%:  between your teeth real
0.59%:  like your
1.66%:  like your teeth were
1.55%:  like your teeth are being
1.01%:  like your teeth are green
0.71%:  like your teeth are super
0.63%:  like your entire
0.60%:  like your teeth are being pun
0.55%:  like your teeth are getting
0.54%:  green between
0.51%:  between your teeth like in
0.49%:  between your teeth like 
0.48%:  there
0.43%:  like your teeth are turning
0.41%:  green between your pear
0.40%:  between your teeth like me
0.39%:  like the entire
0.35%:  like green teeth
0.35%:  like the green
0.35%:  like your teeth are being replaced
0.34%:  been
0.50%:  been there like
0.34%:  between your lips
0.33%:  between your entire
0.32%:  pretty green there
0.32%:  been like
0.31%:  like a
0.31%:  like your teeth were being
0.29%:  between your teeth like water
0.29%:  like your teeth were eating
0.28%:  between your teeth like it was
0.28%:  been like three
2.02%:  been like three minutes
0.26%:  like your teeth are putting
0.26%:  getting
0.25%:  between your teeth like an
0.25%:  like when
0.43%:  like when you get
0.25%:  between your teeth until
0.24%:  like you went
0.24%:  your
0.24%:  the
0.23%:  like you were eating p
0.23%:  like super
0.22%:  between your teeth like we
0.21%:  like your teeth are in
0.21%:  like your teeth are being super
0.21%:  between your teeth is
0.20%:  like you were putting
0.20%:  like your breath
0.20%:  between your teeth like um
0.20%:  like between
0.35%:  like between your teeth in
0.20%:  like when you put
0.19%:  between your teeth like gre
0.19%:  like a green
0.19%:  between your teeth please
0.18%:  super green between your white
0.18%:  like between your teeth is
0.17%:  like your teeth are getting super
0.17%:  like your teeth are green but
0.17%:  pretty great
0.17%:  between your teeth up
0.16%:  between your teeth super
0.16%:  like the time
0.44%:  like the time you were
0.16%:  the green
0.16%:  between your g
0.20%:  between your gums right
0.16%:  between your gums like
0.15%:  between your teeth like a p
0.15%:  like when you were
0.15%:  like your teeth are getting pun
0.15%:  between your gum
0.15%:  making
0.36%:  making your
0.29%:  making you
0.25%:  making your teeth
0.19%:  making your teeth green
0.14%:  like you were getting
0.14%:  green between your teeth is
0.14%:  between your teeth like a sp
0.14%:  like being
0.14%:  between your teeth like r
0.14%:  green between your lips
0.14%:  like between your teeth up
0.14%:  between your teeth like pe
0.14%:  real
0.14%:  between your teeth like w
0.13%:  making you super
0.13%:  between your lips right
0.13%:  like your teeth were in
0.13%:  like the biggest
0.13%:  getting worse
0.13%:  making your entire
0.13%:  real green
0.12%:  like three
0.12%:  like when your
0.12%:  green between your white
0.12%:  right
0.94%:  right between
1.52%:  right between your lips
1.01%:  right between your prem
0.43%:  right between your pear
0.32%:  right between your pre
0.29%:  right between your g
0.35%:  right between your gum
0.24%:  right between your smile
0.15%:  right between your super
0.15%:  right between your knees
0.15%:  right between your m
0.14%:  right between your gums like
0.13%:  right between your prime
0.12%:  right between your sweet
0.12%:  been there a
0.12%:  between your pear
0.12%:  like there are
0.12%:  like you were eating green
0.12%:  like your teeth are p
0.11%:  better
0.11%:  like when your parents
0.11%:  time
0.11%:  like your teeth grew
0.11%:  pretty big
0.11%:  between your teeth like a tur
0.11%:  between your teeth like u
0.11%:  pretty awesome
0.10%:  green like
0.10%:  the worst
0.10%:  like when you eat
0.10%:  pretty intense
0.10%:  super green between your g
0.10%:  between your teeth like gr
0.10%:  like your teeth were eating p
0.10%:  pretty green in
0.19%:  pretty green in here
0.10%:  between your teeth like a true
0.10%:  like your teeth are burning
0.10%:  like between your teeth super
0.10%:  p
0.28%:  pesto between
0.09%:  right between your u
0.09%:  between your teeth like a r
0.09%:  more
0.36%:  more like
0.11%:  more green
0.09%:  not
0.09%:  like it
0.09%:  like you ate
0.09%:  like getting
0.09%:  like between your teeth times
0.09%:  between your teeth like a pe
0.09%:  right between your legs
0.09%:  like your teeth were a
0.09%:  like your teeth aren
0.09%:  been there pretty
0.09%:  like p
0.36%:  like pesto between
0.09%:  pretty sweet
0.08%:  making your teeth super
0.41%:  making your teeth super green
0.08%:  between your teeth man
0.08%:  like your teeth are sm
0.08%:  your new
0.08%:  like the green between
0.08%:  a
0.26%:  a problem
0.08%:  not like
0.08%:  like you put
0.08%:  between your teeth like up
0.08%:  like your teeth are br
0.08%:  like your teeth are spr
0.08%:  like the entire menu
0.08%:  between your teeth in like 
0.08%:  like when you bite
0.08%:  been there like twenty
0.08%:  like the worst
0.08%:  there like
0.08%:  green like your
0.07%:  like the number
0.07%:  like when you put butter
0.07%:  between the
0.07%:  super between
0.28%:  super between your teeth like
0.07%:  like you were there
0.07%:  like you were eating the
0.07%:  between your teeth like sp
0.07%:  right between your entire
0.07%:  between your teeth in a super
0.07%:  like your teeth were replaced
0.07%:  like when you meet
0.07%:  between your teeth like m
0.07%:  like the time you were super
0.07%:  like your teeth are being run
0.07%:  between your teeth like a pre
0.07%:  time to brush
0.07%:  like there were
0.07%:  between your teeth like gu
0.07%:  not like there
0.07%:  in
1.09%:  in your teeth
0.13%:  in your teeth like
0.11%:  in there
0.12%:  in there like
0.10%:  in there pretty
0.07%:  between your teeth like a m
0.07%:  like bro
0.07%:  like you were being
0.07%:  like when your parents were
0.06%:  between your teeth like a met
0.06%:  like your teeth were wearing
0.06%:  between your teeth like sm
0.06%:  like your teeth were part
0.06%:  like trying
0.06%:  like your teeth were getting
0.06%:  between your teeth like nuts
0.06%:  between your teeth like nuts are
0.06%:  like your teeth are pengu
0.06%:  been like three years
0.06%:  green like your teeth
0.06%:  like your teeth are trees
0.06%:  like a super
0.06%:  been there like 
0.06%:  between your teeth al
0.06%:  between your teeth like pre
0.06%:  between your teeth up in
0.06%:  in your hair
0.06%:  between your teeth like a pengu
0.06%:  like you were eating but
0.06%:  like when you were putting
0.06%:  like my
0.06%:  green between your smile
0.06%:  pretty grim
0.06%:  like three times
0.06%:  like there were two
0.06%:  right up
0.08%:  right up between
0.08%:  right up between your g
0.06%:  right up between your gum
0.06%:  um
0.06%:  like your teeth are between
0.06%:  between your teeth like meat
0.06%:  right between your letters
0.06%:  getting between
0.22%:  getting between our
0.15%:  getting between your lips
0.06%:  between your teeth a
0.06%:  a web
0.06%:  like your teeth are being m
0.06%:  a pretty
0.06%:  a pretty green
0.06%:  pretty rank
0.06%:  right between your real
0.06%:  real green between
0.06%:  between your teeth like a ring
0.06%:  between your entire teeth
0.05%:  been there like two
0.05%:  pretty green between the
0.05%:  like the time we
0.13%:  like the time we were
0.09%:  like the time we went
0.05%:  like the time you went
0.05%:  like your teeth went
0.05%:  more like there
0.05%:  between your teeth like par
0.05%:  like the time we went out
0.05%:  between your teeth like spring
0.05%:  more like the
